                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8886,                 5.3549,                 1.8461,                      0,                      0,                      0,                      0,                 3.0425,                 4.7458,                 2.4304,                  6e-05,                  6e-05,                  6e-05
                      2,                 2.9794,                 5.1936,                 1.9868,                0.00267,                    0.4,                0.00205,                0.00047,                 3.1136,                 4.4639,                 2.3698,             0.00013861,             0.00013861,             0.00013861
                      3,                 2.2604,                 4.5163,                 1.5715,                0.00667,                      1,                0.71375,                0.20781,                 1.6155,                 3.6555,                 1.2791,             0.00021564,             0.00021564,             0.00021564
                      4,                 1.8154,                  3.309,                 1.1527,                0.00667,                      1,                  0.995,                0.35531,                 1.2364,                 3.4831,                 1.1022,             0.00029109,             0.00029109,             0.00029109
                      5,                 1.6232,                 2.9111,                 1.0525,                0.00667,                      1,                  0.995,                0.45555,                 1.1212,                 3.2893,                 0.9368,             0.00036495,             0.00036495,             0.00036495
                      6,                 1.3773,                 2.5799,                0.99623,                0.00667,                      1,                0.95833,                0.39106,                  1.045,                 3.3784,                 1.0313,             0.00043723,             0.00043723,             0.00043723
                      7,                 1.3019,                 2.3744,                 1.0227,                0.00667,                      1,                0.87446,                0.24397,                0.98282,                 3.4332,                 0.9806,             0.00050792,             0.00050792,             0.00050792
                      8,                 1.2213,                 2.3317,                0.98767,                0.00667,                      1,                 0.5255,                0.20484,                 1.1661,                 3.4943,                 1.0331,             0.00057703,             0.00057703,             0.00057703
                      9,                 1.4819,                 2.4188,                 1.0847,                0.00667,                      1,                0.94763,                 0.3489,                 1.0607,                 3.4892,                 1.0399,             0.00064456,             0.00064456,             0.00064456
                     10,                 1.2128,                 2.0614,                 1.0495,                0.00667,                      1,                0.32716,                0.09817,                  1.139,                 3.4651,                 1.1145,              0.0007105,              0.0007105,              0.0007105
                     11,                 1.2237,                 2.1241,                 1.0858,                0.00667,                      1,                0.35876,                0.11363,                 1.0842,                 3.5084,                  1.041,             0.00077486,             0.00077486,             0.00077486
                     12,                 1.2668,                 1.9745,                 1.0776,                0.00667,                      1,                0.35593,                0.10807,                 1.1857,                 3.5466,                 1.0711,             0.00083763,             0.00083763,             0.00083763
                     13,                 1.4252,                 2.1018,                 1.1397,                0.00667,                      1,                0.31337,                0.14408,                0.91648,                 3.5887,                 1.0477,             0.00089882,             0.00089882,             0.00089882
                     14,                 1.2739,                 2.1684,                 1.0784,                0.00667,                      1,                0.48165,                0.16784,                   1.01,                 3.4736,                 1.0651,             0.00095843,             0.00095843,             0.00095843
                     15,                 1.2842,                 1.8278,                 1.0497,                0.00667,                      1,                0.75566,                0.21481,                 1.1239,                  3.443,                 1.0131,              0.0010165,              0.0010165,              0.0010165
                     16,                 1.2487,                 1.9537,                 1.0872,                0.00764,                    0.8,                0.53682,                0.07782,                  1.388,                 3.5437,                 1.1685,              0.0010729,              0.0010729,              0.0010729
